Days,Death,Recovered,Infectious
563,4286156,202819724,563518
564,4293590,203289695,469971
565,4302354,203903896,614201
566,4313946,204549163,645267
567,4324469,205279776,730613
568,4334975,205985838,706062
569,4345440,206787696,801858
570,4354169,207345065,557369
571,4361579,207815358,470293
572,4371350,208470399,655041
573,4382111,209152432,682033
574,4392930,209888393,735961
575,4404365,210600069,711676
576,4414850,211385352,785283
577,4423760,211951063,565711
578,4431457,212404973,453910
579,4441408,213076092,671119
580,4452459,213752106,676014
581,4463810,214489324,737218
582,4475417,215225821,736497
583,4485778,215977262,751441
584,4494223,216543526,566264
585,4500968,216997536,454010
586,4510450,217651938,654402
587,4519687,218272495,620557
588,4532177,218991703,719208
589,4543415,219668435,676732
590,4554110,220392340,723905
591,4561859,220898409,506069
592,4568353,221354570,456161
593,4576375,221814824,460254
594,4586862,222470409,655585
595,4596994,223107424,637015
596,4607726,223747256,639832
597,4616905,224406297,659041
598,4625315,224884558,478261
599,4630896,225262018,377460
600,4639954,225824457,562439
601,4649868,226374171,549714
602,4660335,226941106,566935
603,4670835,227528583,587477
604,4679892,228152043,623460
605,4686437,228683316,531273
606,4692475,229052867,369551
607,4700642,229569244,516377
608,4710066,230057801,488557
609,4719793,230592436,534635
610,4729676,231140126,547690
611,4738398,231689539,549413
612,4743904,232069220,379681
613,4749394,232431427,362207
614,4757009,232901253,469826
615,4766419,233351807,450554
616,4775699,233842208,490401
617,4784564,234332295,490087
618,4793198,234854463,522168
619,4799157,235211948,357485
620,4803446,235525667,313719
621,4810525,235960385,434718
622,4817924,236382983,422598
623,4827083,236889601,506618
624,4836038,237351791,462190
625,4843600,237828008,476217
626,4848514,238175445,347437
627,4853200,238498221,322776
628,4858965,238873029,374808
629,4866994,239310788,437759
630,4875918,239767293,456505
631,4883903,240221468,454175
632,4891101,240680099,458631
633,4896489,241030824,350725
634,4900768,241351234,320410
635,4907193,241761776,410542
636,4915253,242192832,431056
637,4923932,242668558,475726
638,4931634,243131249,462691
639,4939811,243624079,492830
640,4945717,244007482,383403
641,4950261,244328569,321087
642,4956956,244755383,426814
643,4964750,245180811,425428
644,4973911,245695036,514225
645,4982804,246178628,483592
646,4990619,246673070,494442
647,4996693,247067278,394208
648,5001214,247431287,364009
649,5007452,247853905,422618
650,5014629,248257045,403140
651,5023091,248780697,523652
652,5030720,249298281,517584
653,5039343,249822320,524039
654,5046082,250259565,437245
655,5050612,250621618,362053
656,5057216,251092599,470981
657,5065311,251560313,467714
658,5073607,252133690,573377
659,5081306,252654496,520806
660,5090312,253253883,599387
661,5096804,253692431,438548
662,5101481,254072141,379710
663,5108217,254598164,526023
664,5115892,255104283,506119
665,5125099,255719872,615589
